Id;Formule
9;Artemis # Puthios
10;Dionusos # Phleos
11;[Zeus # Brontôn] + [Zeus # Karpodotês] + [Zeus # Eucharistos]
12;Apollôn # (Dêlios + Kalumnas-Medeôn)
13;Isis # Sôtêr # (Astartê / Aphroditê) # (Euploia + Epêkoos)
14;(Asklêpios + Hugieia + Telesphoros) # Alexiponos
15;Sôtêr
